Port Number,Received Packets,Received Bytes,Sent Bytes,Sent Packets,Port alive Duration (S),Packets Rx Dropped,Packets Tx Dropped,Packets Rx Errors,Packets Tx Errors,Delta Received Packets,Delta Received Bytes,Delta Sent Bytes,Delta Sent Packets,Delta Port alive Duration (S),Delta Packets Rx Dropped,Delta Packets Tx Dropped,Delta Packets Rx Errors,Delta Packets Tx Errors,Connection Point,Total Load/Rate,Total Load/Latest,Unknown Load/Rate,Unknown Load/Latest,Latest bytes counter,Table ID,Active Flow Entries,Packets Looked Up,Packets Matched,Max Size,Label,Binary Label
1,60,8082,7730,57,46,0,0,0,0,2,278,278,2,5,0,0,0,0,1,0,0,0,0,0,0,7,354,265,-1,1,1
2,60,8082,7562,53,46,0,0,0,0,2,278,278,2,5,0,0,0,0,3,0,8209,0,8209,0,0,7,354,265,-1,1,1
3,59,8040,16055,179,46,0,0,0,0,2,280,278,2,5,0,0,0,0,4,0,0,0,0,0,0,7,354,265,-1,1,1
1,69,9236,8884,66,56,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,0,0,0,0,0,4,382,293,-1,1,1
2,69,9236,8674,61,56,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,4,382,293,-1,1,1
3,68,9202,17209,188,56,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,0,4,382,293,-1,1,1
1,313,6321607,6335454,521,146,0,0,0,0,4,556,6302910,166,5,0,0,0,0,1,564600,5646004,564600,5646004,564600,0,5,1490,1385,-1,1,1
2,312,6321541,17282,123,146,0,0,0,0,4,556,556,4,5,0,0,0,0,3,0,0,0,0,0,0,5,1490,1385,-1,1,1
3,138,18204,6337179,543,146,0,0,0,0,4,560,556,4,5,0,0,0,0,4,0,0,0,0,0,0,5,1490,1385,-1,1,1
1,1071,12666942,30317,289,191,0,0,0,0,4,556,556,4,5,0,0,0,0,1,0,8077,0,8077,0,0,6,4767,4668,-1,1,1
2,3078,179102,21452,153,191,0,0,0,0,98,5632,556,4,5,0,0,0,0,3,0,0,0,0,0,0,6,4767,4668,-1,1,1
